title,brand,price,rating,review_count,url,is_price_outlier,value_score,avg_sentiment,sentiment_label
Samsung Wireless Earbuds Plus,Samsung,246.39,3.6,5951,https://www.amazon.com/dp/DEMO00000,True,0.518,0.284,positive
Sennheiser Wireless Earbuds Studio,Sennheiser,173.03,3.8,4434,https://www.amazon.com/dp/DEMO00001,False,0.557,0.172,positive
Sennheiser Wireless Earbuds 2,Sennheiser,25.03,4.7,11096,https://www.amazon.com/dp/DEMO00002,False,0.944,0.505,positive
Bose Wireless Earbuds Air,Bose,196.19,3.4,5573,https://www.amazon.com/dp/DEMO00003,False,0.529,0.597,positive
Skullcandy Wireless Earbuds Lite,Skullcandy,70.2,3.9,7602,https://www.amazon.com/dp/DEMO00004,False,0.735,0.304,positive
Sennheiser Wireless Earbuds 2,Sennheiser,147.34,4.3,9886,https://www.amazon.com/dp/DEMO00005,False,0.773,0.284,positive
Samsung Wireless Earbuds Pro,Samsung,31.67,3.3,9779,https://www.amazon.com/dp/DEMO00006,False,0.764,0.811,positive
Sony Wireless Earbuds Max,Sony,46.4,3.1,10024,https://www.amazon.com/dp/DEMO00007,False,0.738,-0.108,neutral
Bose Wireless Earbuds Lite,Bose,208.31,4.0,9847,https://www.amazon.com/dp/DEMO00008,False,0.692,0.47,positive
Samsung Wireless Earbuds Air,Samsung,155.34,4.8,10034,https://www.amazon.com/dp/DEMO00009,False,0.82,0.145,neutral
Samsung Wireless Earbuds Plus,Samsung,122.23,4.6,1372,https://www.amazon.com/dp/DEMO00010,False,0.597,0.172,positive
JBL Wireless Earbuds Pro,JBL,108.81,4.7,5033,https://www.amazon.com/dp/DEMO00011,False,0.715,0.109,neutral
Sennheiser Wireless Earbuds Max,Sennheiser,210.02,3.7,3196,https://www.amazon.com/dp/DEMO00012,False,0.484,0.074,neutral
Anker Wireless Earbuds Pro,Anker,211.93,4.8,8554,https://www.amazon.com/dp/DEMO00013,False,0.735,0.462,positive
Skullcandy Wireless Earbuds Pro,Skullcandy,211.95,4.2,3690,https://www.amazon.com/dp/DEMO00014,False,0.546,0.44,positive
JBL Wireless Earbuds Studio,JBL,16.64,3.3,10612,https://www.amazon.com/dp/DEMO00015,False,0.798,0.109,neutral
Skullcandy Wireless Earbuds Air,Skullcandy,204.77,4.0,1944,https://www.amazon.com/dp/DEMO00016,False,0.485,0.47,positive
Sennheiser Wireless Earbuds Max,Sennheiser,96.18,5.0,7937,https://www.amazon.com/dp/DEMO00017,False,0.832,0.074,neutral
Bose Wireless Earbuds Lite,Bose,20.69,3.9,4210,https://www.amazon.com/dp/DEMO00018,False,0.685,0.096,neutral
JBL Wireless Earbuds Air,JBL,208.23,3.7,4120,https://www.amazon.com/dp/DEMO00019,False,0.51,0.284,positive
Bose Wireless Earbuds Max,Bose,163.55,4.5,10526,https://www.amazon.com/dp/DEMO00020,False,0.796,0.597,positive
Samsung Wireless Earbuds Studio,Samsung,37.21,4.4,8370,https://www.amazon.com/dp/DEMO00021,False,0.832,0.074,neutral
Anker Wireless Earbuds Max,Anker,98.94,4.8,5135,https://www.amazon.com/dp/DEMO00022,False,0.736,0.462,positive
JBL Wireless Earbuds Lite,JBL,173.74,4.0,11308,https://www.amazon.com/dp/DEMO00023,False,0.759,0.172,positive
Bose Wireless Earbuds Max,Bose,166.16,4.4,3839,https://www.amazon.com/dp/DEMO00024,False,0.607,0.096,neutral
